award_id,parent_award_id,award_key,incumbent,incumbent_uei,awarding_agency,awarding_sub_agency,contracting_office,naics_code,naics_description,psc_code,psc_description,set_aside,award_type,current_value_usd,potential_value_usd,obligated_usd,pop_start,pop_end,pop_potential_end,days_to_end,pop_state,source_url,last_action_date,snapshot_date,naics_source_code,award_class,vehicle_type,vehicle_competition,how_to_compete
70Z0G326PMSPL0001,,CONT_AWD_70Z0G326PMSPL0001_7008_-NONE-_-NONE-,HEURISTIC MANAGEMENT SYSTEMS INC.,SDSAQVK1JTZ8,Department of Homeland Security,U.S. Coast Guard,C5I DIVISION 2 KEARNEYSVILLE,541512,Computer Systems Design Services,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,NO SET ASIDE USED.,PURCHASE ORDER,90000.00,90000.00,90000.00,2026-04-15,2026-10-14,2026-10-14,37,WV,https://www.usaspending.gov/award/CONT_AWD_70Z0G326PMSPL0001_7008_-NONE-_-NONE-/,2026-04-13,2026-09-07,541512,standalone,,,"Not competed: this award was made without competition under an exception, so the follow-on may be awarded the same way. Ask the contracting office whether the next requirement will be solicited before pop_end."
FA701423P0005,,CONT_AWD_FA701423P0005_9700_-NONE-_-NONE-,"CRUNCHBASE, INC.",ET24JVN1XMK6,Department of Defense,Department of the Air Force,FA7014  AFDW PK,541512,Computer Systems Design Services,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,NO SET ASIDE USED.,PURCHASE ORDER,93069.99,119139.08,93069.99,2023-02-06,2027-02-05,2028-02-05,151,VA,https://www.usaspending.gov/award/CONT_AWD_FA701423P0005_9700_-NONE-_-NONE-/,2026-01-13,2026-09-07,541512,standalone,,,Open follow-on: the agency awards a new contract or extends this one. Track the contracting office for the solicitation and market to it before pop_end.
70RCSJ24C00000004,,CONT_AWD_70RCSJ24C00000004_7001_-NONE-_-NONE-,KONIAG DATA SOLUTIONS LLC,N19BZQQSEUV4,Department of Homeland Security,Office of Procurement Operations,CISA CONTRACTING ACTIVITY,541512,Computer Systems Design Services,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),8(A) SOLE SOURCE,DEFINITIVE CONTRACT,653560.22,1133999.52,653560.22,2024-05-19,2027-05-18,2029-05-18,253,VA,https://www.usaspending.gov/award/CONT_AWD_70RCSJ24C00000004_7001_-NONE-_-NONE-/,2026-07-27,2026-09-07,541512,standalone,,,"8(a) sole source - eligibility required and not openly competed: the agency may award the follow-on directly to a certified 8(a) firm. Hold 8(a) status, or team with the incumbent."
FA872622C0006,,CONT_AWD_FA872622C0006_9700_-NONE-_-NONE-,"CURTISS-WRIGHT DS, INC.",JU5GNH1H5FV6,Department of Defense,Department of the Air Force,FA2291 AFLCMC C3NK,541512,Computer Systems Design Services,6930,OPERATION TRAINING DEVICES,NO SET ASIDE USED.,DEFINITIVE CONTRACT,3037666.68,3037666.68,3037666.68,2022-02-02,2027-09-30,2027-09-30,388,MA,https://www.usaspending.gov/award/CONT_AWD_FA872622C0006_9700_-NONE-_-NONE-/,2026-04-16,2026-09-07,541512,standalone,,,Open follow-on: the agency awards a new contract or extends this one. Track the contracting office for the solicitation and market to it before pop_end.
36C10A24N0013,36C10A22D0003,CONT_AWD_36C10A24N0013_3600_36C10A22D0003_3600,"DOCUMENT STORAGE SYSTEMS, INC.",EJL2XFJ1BZJ1,Department of Veterans Affairs,Department of Veterans Affairs,TECHNOLOGY ACQUISITION CENTER AUSTIN (36C10A),541512,Computer Systems Design Services,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),,DELIVERY ORDER,110510.14,151901.95,110510.14,2023-12-18,2026-11-03,2027-11-03,57,SC,https://www.usaspending.gov/award/CONT_AWD_36C10A24N0013_3600_36C10A22D0003_3600/,2025-10-06,2026-09-07,541512,order,IDC,SINGLE AWARD,"Order under indefinite-delivery contract 36C10A22D0003, a single-award vehicle: the follow-on order goes to its holder. Compete when 36C10A22D0003 itself is recompeted, or subcontract to the holder."
693KA826F00007,693KA824D00003,CONT_AWD_693KA826F00007_6920_693KA824D00003_6920,"ADACEL SYSTEMS, INC.",CJGGL54N3FA9,Department of Transportation,Federal Aviation Administration,693KA8 SYSTEM OPERATIONS CONTRACTS,541512,Computer Systems Design Services,7B20,IT AND TELECOM - HIGH PERFORMANCE COMPUTE (HARDWARE AND PERPETUAL LICENSE SOFTWARE),,DELIVERY ORDER,648026.51,648026.51,648026.51,2025-12-01,2026-11-30,2026-11-30,84,DC,https://www.usaspending.gov/award/CONT_AWD_693KA826F00007_6920_693KA824D00003_6920/,2026-03-27,2026-09-07,541512,order,IDC,SINGLE AWARD,"Order under indefinite-delivery contract 693KA824D00003, a single-award vehicle: the follow-on order goes to its holder. Compete when 693KA824D00003 itself is recompeted, or subcontract to the holder."
693KA926F00006,693KA921D00007,CONT_AWD_693KA926F00006_6920_693KA921D00007_6920,ATAC,DCYJEYKZNYX5,Department of Transportation,Federal Aviation Administration,693KA9 CONTRACTING FOR SERVICES,541512,Computer Systems Design Services,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,,DELIVERY ORDER,2556861.00,3310581.00,2556861.00,2026-01-06,2026-12-18,2026-12-18,102,CA,https://www.usaspending.gov/award/CONT_AWD_693KA926F00006_6920_693KA921D00007_6920/,2026-06-02,2026-09-07,541512,order,IDC,SINGLE AWARD,"Order under indefinite-delivery contract 693KA921D00007, a single-award vehicle: the follow-on order goes to its holder. Compete when 693KA921D00007 itself is recompeted, or subcontract to the holder."
12314426F0033,GS35F0451V,CONT_AWD_12314426F0033_1205_GS35F0451V_4730,"LENTECH, INC",H51CAWUENRS8,Department of Agriculture,Office of the Chief Financial Officer,"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC",541512,Computer Systems Design Services,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),,DELIVERY ORDER,251655.25,251655.25,251655.25,2026-01-01,2026-12-31,2026-12-31,115,NM,https://www.usaspending.gov/award/CONT_AWD_12314426F0033_1205_GS35F0451V_4730/,2025-12-29,2026-09-07,541512,order,FSS,MULTIPLE AWARD,"Order under federal supply schedule contract GS35F0451V, a multiple-award vehicle: the follow-on order is competed among that vehicle's holders. Get onto GS35F0451V, or team with a holder, before pop_end."
697DCK26F00126,697DCK22D00002,CONT_AWD_697DCK26F00126_6920_697DCK22D00002_6920,MICROTECHNOLOGIES LLC,CL69E7KATK59,Department of Transportation,Federal Aviation Administration,697DCK REGIONAL ACQUISITIONS SVCS,541512,Computer Systems Design Services,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE),,DELIVERY ORDER,230447.37,230447.37,230447.37,2026-01-06,2027-01-26,2027-01-26,141,OK,https://www.usaspending.gov/award/CONT_AWD_697DCK26F00126_6920_697DCK22D00002_6920/,2026-01-06,2026-09-07,541512,order,IDC,SINGLE AWARD,"Order under indefinite-delivery contract 697DCK22D00002, a single-award vehicle: the follow-on order goes to its holder. Compete when 697DCK22D00002 itself is recompeted, or subcontract to the holder."
FA489026F0035,47QTCA21A000X,CONT_AWD_FA489026F0035_9700_47QTCA21A000X_4732,"DH TECHNOLOGIES, INC.",NKC2AB3ESFP5,Department of Defense,Department of the Air Force,FA4890  HQ ACC AMIC,541512,Computer Systems Design Services,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE),,BPA CALL,55360.00,55360.00,55360.00,2026-02-05,2027-02-04,2027-02-04,150,NM,https://www.usaspending.gov/award/CONT_AWD_FA489026F0035_9700_47QTCA21A000X_4732/,2026-02-05,2026-09-07,541512,order,BPA,MULTIPLE AWARD,"Order under blanket purchase agreement 47QTCA21A000X, a multiple-award vehicle: the follow-on order is competed among that vehicle's holders. Get onto 47QTCA21A000X, or team with a holder, before pop_end."
