ein,name,in_care_of,address,city,state,zip,phone,website,tax_period_end,tax_year,amended,total_assets_eoy,fmv_assets_eoy,contributions_received,total_revenue,total_expenses,total_grants_paid,grant_rows,preselected_only,accepts_applications,app_contact,app_address,app_phone,app_materials,app_deadlines,app_restrictions,return_id,object_id,source_archive,snapshot_date,shared_admin_address,final_return
261386173,HALL ART FOUNDATION INC,% FULVIO & ASSOCIATES LLP,544 VT Route 106 PO Box 127,READING,VT,05062,2124903113,http://www.hallartfoundation.org,2024-12-31,2024,N,53477019,57687202,2141741,9527706,7847213,5883767,4,Y,N,,,,,,,,202533189349102723,2025_TEOS_XML_11B,2026-09-07,N,N
272993973,GENERATION FUND INC C/O DINSE PC,,209 BATTERY STREET PO BOX 988,BURLINGTON,VT,05402,8028645751,N/A,2024-12-31,2024,N,39670379,39670379,,2027412,6214831,5859986,4,Y,N,,,,,,,,202502979349101100,2025_TEOS_XML_11A,2026-09-07,N,N
203794102,THREE THIRTY THREE FOUNDATION INC,,998 SOUTH MAIN STREET BOX 220,STOWE,VT,056725196,6172368098,N/A,2025-10-31,2024,N,105470040,150008729,3050000,10834704,6094046,5500000,1,Y,N,,,,,,,24402143,202601039349101300,2026_TEOS_XML_04A,2026-09-07,N,N
306057244,THE PROSPECT FUND,,75 ST PAUL STREET 8NW,BURLINGTON,VT,054014899,6173835373,N/A,2025-12-31,2025,N,0,0,,40076,4350904,4326489,5,Y,N,,,,,,,,202621329349103642,2026_TEOS_XML_05A,2026-09-07,N,Y
030300865,BEN & JERRY'S FOUNDATION INC,,530 COMMUNITY DRIVE,SOUTH BURLINGTON,VT,05403,8029922282,WWW.BENANDJERRYSFOUNDATION.ORG,2024-12-31,2024,N,9224372,9224372,5335372,5616458,4573131,4220251,448,N,Y,LISA PENDOLINO,"30 COMMUNITY DRIVE, SOUTH BURLINGTON, VT, 05403",8028461500,"APPLICATIONS, WHERE REQUIRED, ARE SUBMITTED ONLINE. GO TO WWW.BENANDJERRYFOUNDATION.ORG.",APPLICATIONS ARE TYPICALLY ACCEPTED AND REVIEWED ON A MONTHLY BASIS.,U.S. RECIPIENTS ONLY,,202543189349100914,2025_TEOS_XML_11B,2026-09-07,N,N
030354374,Hoehl Family Foundation,% ROBERT F HOEHL,PO Box 816,Shelburne,VT,05482,8022380990,www.hoehlfamilyfoundation.org,2024-12-31,2024,N,57208619,71409520,0,3816630,4987869,4144216,1,N,Y,LAURA LATKA,"PO BOX 816, SHELBURNE, VT, 05482",8024480629,NO SPECIFIC FORM IS REQUIRED. A WRITTEN GRANT PROPOSAL SHOULD BE SUBMITTED BY MAIL.,APPLICATIONS ARE ACCEPTED AT ANY TIME.,"QUALIFIED CHARITABLE, RELIGIOUS, EDUCATIONAL AND/OR SCIENTIFIC ORGANIZATIONS.",,202513159349100321,2025_TEOS_XML_11D,2026-09-07,N,N
475634424,THE WILKENS FAMILY FOUNDATION,,PO BOX 3265,STOWE,VT,05672,8022532876,N/A,2025-12-31,2025,N,55697744,95766203,31487362,36627400,4018898,3709000,39,Y,N,,,,,,,,202611879349100421,2026_TEOS_XML_07A,2026-09-07,N,N
272994814,SERENA FOUNDATION INC C/O DINSE PC,,209 BATTERY STREET PO BOX 988,BURLINGTON,VT,05402,8028645751,N/A,2024-12-31,2024,N,48890449,48890449,,1176756,3284220,2843499,1,Y,N,,,,,,,,202512979349101001,2025_TEOS_XML_11A,2026-09-07,N,N
933920817,FOUR PINES FUND INC,,50 LAKESIDE AVE BOX 118 H33,BURLINGTON,VT,05401,2672358715,N/A,2025-08-31,2025,N,274760,274760,705036,754088,3804542,2751313,16,Y,N,,,,,,,,202601959349100430,2026_TEOS_XML_07A,2026-09-07,N,N
204818866,NATIONAL LIFE GROUP CHARITABLE FOUNDATION INC,,1 NATIONAL LIFE DRIVE,MONTPELIER,VT,05604,8022293947,WWW.NATIONALLIFE.COM/OUR-STORY/OUR-FOUNDATION,2024-12-31,2024,N,27377919,27377919,2403635,3100616,2672029,2654987,757,N,Y,ONLINE APPLICATION,"1 NATIONAL LIFE DRIVE, MONTPELIER, VT, 05604",8022293947,APPLICATION FORM OPENS ON JANUARY 1ST AND SHOULD BE SUBMITTED ONLINE: WWW.NATIONALLIFE.COM/OUR-STORY/GRANTS-AND-SPONSORSHIPS. WE LOOK FOR PROPOSALS THAT HAVE: - A WELL-PLANNED APPROACH TO UNDERLYING ISSUES OR NEEDS - A BASE OF SUPPORT - METRICS TO SUPPORT SUCCESS,GRANTS- MARCH 31ST; SPONSORSHIPS- REVIEWED ON ROLLING BASIS UNTIL YEARLY FUNDING EXHAUSTED.,"OUR GRANTS VARY IN SIZE AND WE RARELY FUND AN ENTIRE PROGRAM. WE DO NOT FUND NEW PROGRAMS. WE INSTEAD FOCUS ON PROVEN PROGRAMS. WE ARE PRIMARILY FOCUSED ON PROGRAMS THAT HELP END CHILDHOOD HUNGER, ADDRESS CHILDREN'S MENTAL HEALTH AND TO A LESSER EXTENT, THOSE THAT SUPPORT COMMUNITY DEVELOPMENT IN THE MONTPELIER, VT AND DALLAS, TX AREAS. THE VAST MAJORITY OF OUR FUNDING IS CENTERED ON CENTRAL AND NORTHERN VT AND THE DALLAS, TX AREA WHERE OUR EMPLOYEES LIVE AND WORK. FOR OUR GENERAL GRANTS PROGRAM, WE DON'T MAKE GRANTS FOR ENDOWMENTS, SCHOLARSHIPS, HIGHER EDUCATION INSTITUTIONS, RELIGIOUS ORGANIZATIONS, LABOR AND FRATERNAL GROUPS, DEBT REDUCTION OR WORK THAT HAS ALREADY BEEN COMPLETED. ADDITIONALLY, WE DON'T MAKE GRANTS TO INDIVIDUALS, DAYCARE FACILITIES, OR FOR SCHOOL TRIPS. FINALLY, WE DON'T MAKE GRANTS TO ORGANIZATIONS THAT DISCRIMINATE IN ANY WAY ON THE BASIS OF RACE, RELIGION, GENDER, AGE, NATIONAL ORIGIN, DISABILITY, OR SEXUAL ORIENTATION.",,202543149349100024,2025_TEOS_XML_11B,2026-09-07,N,N
862566529,FAR REACH FOUNDATION,,228 AVIATION AVE,SOUTH BURLINGTON,VT,05403,8027501603,N/A,2025-12-31,2025,N,28908988,32514341,5800000,6864269,2802428,2651272,3,Y,N,,,,,,,,202621319349101537,2026_TEOS_XML_05A,2026-09-07,N,N
824516971,J Walter Juckett Cancer Research Foundation Inc,,7 Cindy Lane,Essex Junction,VT,05452,8028788723,N/A,2025-12-31,2025,N,31337494,31337494,,2285778,1425440,1752025,1,Y,N,,,,,,,,202631259349100623,2026_TEOS_XML_05A,2026-09-07,N,N
030307532,THE PIZZAGALLI FOUNDATION,,462 SHELBURNE ROAD SUITE 101,BURLINGTON,VT,05401,8026606800,N/A,2025-12-31,2025,N,15707610,23973850,422491,2527870,1854417,1717815,1,N,Y,JAMES PIZZAGALLI TRUSTEE,"462 SHELBURNE ROAD SUITE 101, BURLINGTON, VT, 05401",8026606800,"APPLICATIONS SHOULD INCLUDE NAME, ADDRESS, TELEPHONE NUMBER, PURPOSE, AND PROPOSED USE OF REQUESTED GRANTS.",NONE,NONE,,202641249349101844,2026_TEOS_XML_05A,2026-09-07,N,N
223565747,ESTHER AND OTTO SELIGMANN FOUNDATION INC C/O KIMBERLY WALKER,,89 RIDGE ROAD,CORNWALL,VT,05753,8024623816,N/A,2025-12-31,2025,N,1548664,1972960,,367538,1698822,1669305,8,Y,N,,,,,,,,202631349349101498,2026_TEOS_XML_05A,2026-09-07,N,N
030355842,Antonio B and Rita M Pomerleau Foundation Inc,,P O Box 6,Burlington,VT,05402,8028638210,N/A,2024-12-31,2024,N,2133573,5870511,1276172,1798859,1751032,1567698,57,N,Y,Ernest A Pomerleau,"P O Box 6, Burlington, VT, 05402",8028638210,Purpose and amount of the grant request.,None,Grants generally restricted to those that benefit the people of Vermont.,,202513219349105746,2025_TEOS_XML_11D,2026-09-07,N,N
352558724,LINTILHAC FOUNDATION INC,,886 NORTHGATE ROAD,SHELBURNE,VT,05482,8029854117,WWW.LINTILHACFOUNDATION.ORG,2025-12-31,2025,N,26006887,31014702,,2327696,1966764,1464263,113,N,Y,CREA S LINTILHAC,"886 NORTHGATE ROAD, SHELBURNE, VT, 05482",8029854106,"ALL APPLICATIONS MUST BE SUBMITTED ONLINE AT WWW.LINTILHACFOUNCATION.COM. APPLICATIONS SHOULD BE PREPARED TO DESCRIBE BRIEFLY: THE ORGANIZATION, ITS MISSION, ITS PRIMARY PROGRAMS, GEOGRAPHIC REACH, THE NEED IT IS SEEKING TO ADDRESS (INCLUDING KEY DATA POINTS AND SCOPE AND SEVERITY), THE NATURE OF THE REQUEST, HOW IT PLANS TO ADDRESS THE NEED, ACTIVITIES AND TIMELINESS, THE TOTAL FUNDING NEEDED FOR THE PROJECT, THE SPECIFIC FUNDING REQUESTED OF THE LINTILHAC FOUNDATION AND WHAT A SPECIFIC SITE VISIT TO THE ORGANIZATION WOULD REQUIRE.",THERE ARE NO DEADLINES. GRANTS WILL BE AWARDED SEMIANNUALLY.,"GRANTS ARE MADE FOR EDUCATIONAL, SCIENTIFIC AND CHARITABLE PURPOSES. THERE ARE TWO CORE AREAS FOR GRANTMAKING TO ORGANIZATIONS SERVING THE STATE OF VERMONT: THE ENVIRONMENT - LIMITED TO ISSUES OF WATER QUALITY, CLEAN AND NUCLEAR-FREE ENERGY AND LAND CONSERVATION AND MANAGEMENT AND 2) MEDIA AND DEMOCRATIC ENGAGEMENT - LIMITED TO PUBLICLY SUPPORTED MEDIA AND CITIZENSHIP ENGAGEMENTS IN DEMOCRACY. REPRODUCTIVE FREEDOM AND PLANT SCIENCES ARE ALSO AREAS OF FOCUS FOR GRANTS. UNSOLICITED PROPOSALS REGARDING LEGACY GIVING ARE NOT ACCEPTED NOR ARE PROPOSALS ACCEPTED FOR: INDIVIDUALS, EMERGENCY FUNDS, MUNICIPALITIES, CHURCHES, UNSOLICITED CAPITAL PROJECTS THAT FALL OUTSIDE THE CORE GIVING AREAS, OR WHEN ORGANIZATIONS HAVE SUBMITTED A PROPOSAL IN THE PRECEDING TWELVE MONTHS.",,202631549349100758,2026_TEOS_XML_06A,2026-09-07,N,N
816177315,M&C SOMEWHERE FOUNDATION,,PO BOX 96,RIPTON,VT,05766,8023499634,N/A,2025-12-31,2025,N,1051070,2100351,650000,766063,1430886,1417000,5,Y,N,,,,,,,,202641339349100344,2026_TEOS_XML_05A,2026-09-07,N,N
216016107,LYDIA B STOKES FOUNDATION,,118 TILLEY DRIVE SUITE 202,SOUTH BURLINGTON,VT,05403,8023249270,LYDIABSTOKESFOUNDATION.ORG,2025-06-30,2024,N,2264343,2269277,,119098,1464504,1415691,20,Y,N,,,,,,,24402929,202611269349101316,2026_TEOS_XML_05A,2026-09-07,N,N
521790278,Sills Family Foundation,,PO Box 425,Richmond,VT,05477,8022649629,N/A,2024-12-31,2024,N,11050852,27671629,,1446711,1593753,1415000,7,Y,N,,,,,,,,202543199349100024,2025_TEOS_XML_11B,2026-09-07,N,N
112001717,THE RAUCH FOUNDATION INC,,PO BOX 626,WOODSTOCK,VT,05091,8572552038,RAUCHFOUNDATION.ORG,2024-12-31,2024,Y,37111713,56421689,,2501873,2604223,1211082,71,Y,N,,,,,,,,202523119349100112,2025_TEOS_XML_11C,2026-09-07,N,N
