funder_ein,funder_name,recipient_name,recipient_city,recipient_state,recipient_zip,recipient_country,recipient_status,relationship,purpose,amount,tax_period_end,return_id
020514457,AMY E TARRANT FOUNDATION INC,RICE MEMORIAL HIGH SCHOOL,S BURLINGTON,VT,05403,US,PC,NONE,GENERAL SUPPORT,100000,2024-12-31,
030179439,WARNER HOME FOR LITTLE WANDERERS C/O KRISTINA ELLSWORTH-SPOONER,GRANTS,VARIOUS,VT,05478,US,,,VARIOUS,69853,2025-04-30,
030179439,WARNER HOME FOR LITTLE WANDERERS C/O KRISTINA ELLSWORTH-SPOONER,CAMPERSHIPS,VARIOUS,VT,05478,US,,,VARIOUS,44315,2025-04-30,
030179439,WARNER HOME FOR LITTLE WANDERERS C/O KRISTINA ELLSWORTH-SPOONER,SCHOLARSHIPS,VARIOUS,VT,05478,US,,,VARIOUS,37500,2025-04-30,
030183720,VERMONT EASTERN STAR HOME INC,EMERGENCY ASSISTANCE TO,VARIOUS,VT,05060,US,,,GENERAL ASSISTANCE,78624,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,VERMONT FOOD BANK,BARRE,VT,05641,US,,,PROGRAM SUPPORT,25000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,NORTHEAST KINGDOM HUMAN SERVICES,ST JOHNSBURY,VT,05819,US,,,PROGRAM SUPPORT,5000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,ALZHEIMER'S ASSOCIATION,WILLISTON,VT,05495,US,,,PROGRAM SUPPORT,2000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,AMERICAN DIABETES ASSOCIATION,MERRIFIELD,VA,22116,US,,,PROGRAM SUPPORT,2000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,AMERICAN LUNG ASSOCIATION,WILLISTON,VT,05495,US,,,PROGRAM SUPPORT,2000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,AMERICAN RED CROSS,BURLINGTON,VT,05401,US,,,PROGRAM SUPPORT,2000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,BAYADA HEALTH CARE,RUTLAND,VT,05701,US,,,PROGRAM SUPPORT,2000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,CAMP CHAMP,SOUTH HERO,VT,05468,US,,,PROGRAM SUPPORT,2000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,CAMP TA-KUMTA,SOUTH HERO,VT,05468,US,,,PROGRAM SUPPORT,2000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,CANCER PATIENT SUPPORT CENTER,WILLISTON,VT,05495,US,,,PROGRAM SUPPORT,2000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,CHILDREN'S MIRACLE NETWORK,BURLINGTON,VT,05401,US,,,PROGRAM SUPPORT,2000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,CV FUNGROUP,MONTPELIER,VT,05602,US,,,PROGRAM SUPPORT,2000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,MAKE-A-WISH FOUNDATION,SHELBURNE,VT,05482,US,,,PROGRAM SUPPORT,2000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,MASONIC CHARITIES OF VERMONT,BARRE,VT,05641,US,,,PROGRAM SUPPORT,2000,2026-04-30,
030183720,VERMONT EASTERN STAR HOME INC,NEW ENGLAND KURN HATTIN HOMES,WESTMINSTER,VT,05158,US,,,PROGRAM SUPPORT,2000,2026-04-30,
